"CAS","DTXSID","PREFERRED_NAME","element_metal","C..Z..C.Q","C..O.N","C..O.O","bond.C.O","CC..O.C","CN_amine","COC","COH_alcohol","CX_halide","P.O","quatN","S..O.N","S..O.O","S..O.X","bond.X","bond.metal","alkaneBranch","alkaneCyclic","chain.alkaneLinear","alkeneLinear","aromaticAlkane","oxy.alkaneLinear","ligand","ring.hetero","bond.C.N","CS","N..C.","NC.O","OZ_oxide","PC","QQ.Q.O_S","S.O","alkeneBranch","ring.aromatic","S.N"
"35192-44-0","DTXSID90371872","1,8-Divinylperfluorooctane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"39108-34-4","DTXSID00192353","8:2 Fluorotelomer sulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"375-01-9","DTXSID4059914","1H,1H-Heptafluorobutanol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"355-66-8","DTXSID80310730","Octafluoroadipamide","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0
"307-98-2","DTXSID5059799","1H,1H-Perfluorooctyl acrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"374-98-1","DTXSID4059912","Heptafluorobutyl iodide","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"375-95-1","DTXSID8031863","Perfluorononanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"336-08-3","DTXSID4059833","Octafluoroadipic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"329710-76-1","DTXSID00442840","2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0",0,0,0,0,0,0,0,1,0,0,0
"376-73-8","DTXSID8059926","Hexafluoroglutaric acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"678-95-5","DTXSID5060986","1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"73609-36-6","DTXSID00223797","Dichloromethyl((perfluorohexyl)ethyl)silane","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"377-38-8","DTXSID8059928","Tetrafluorosuccinic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"376-90-9","DTXSID3059927","Hexafluoroamylene glycol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"375-73-5","DTXSID5030030","Perfluorobutanesulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"77953-71-0","DTXSID70379295","3H-Perfluoro-2,2,4,4-tetrahydroxypentane","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
