"","chemical_id","chemical_name","CASRN","DTXSID","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10","Background","Excitatory","Refractory","Light","Dark","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile","Background_new","Excitatory_new","Refractory_new","Light_new","Dark_new"
"11",2597,"Perfluoropentanoic acid","2706-90-3","DTXSID6062599","perfluoroalkyl carboxylic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.047,"-",3.75908,2.51218,"0.92257100000000003","0.0059156199999999999",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"12",2598,"Perfluorotetradecanoic acid","376-06-7","DTXSID3059921","perfluoroalkyl carboxylic acid",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714.117,"-",5.75457,5.11584,"0.0038547799999999999","-",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"13",2599,"Perfluorotridecanoic acid","72629-94-8","DTXSID90868151","perfluoroalkyl carboxylic acid",12,NA,32.031340471685,NA,41.9281915466365,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5586135422388,NA,NA,NA,NA,NA,664.109,NA,4.96,8.73,"0.0035899999999999999",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"14",2600,"Perfluoroundecanoic acid","2058-94-8","DTXSID8047553","perfluoroalkyl carboxylic acid",10,82.7573438091943,NA,NA,59.2990286019232,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8204318154362,NA,NA,NA,NA,NA,564.093,"186/714",4.69608,4.11115,"0.029512099999999999","0.00079432799999999996",NA,NA,"LC","Non-Volatile",NA,NA,NA,100,3.7
"15",2685,"Potassium perfluorohexanesulfonate","3871-99-6","DTXSID3037709","perfluoroalkyl sulfonic acid",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.629125085757,NA,NA,NA,76.8485092998457,NA,NA,NA,33.3,NA,438.2,"34/743",4.2745,2.44301,"-","-",NA,33.3,"LC","Non-Volatile",NA,NA,NA,33.3,NA
"16",2686,"Potassium perfluorooctanesulfonate","2795-39-3","DTXSID8037706","perfluoroalkyl sulfonic acid",8,NA,NA,NA,13.6175776413083,10.2208723561583,28.7682389960109,29.4741253484202,NA,28.7682389960109,29.1160096329895,NA,NA,NA,11.0173487782255,NA,NA,NA,11.1,NA,538.22,"123/707",4.74766,-0.567682,"-","-",NA,11.1,"LC","Non-Volatile",NA,NA,NA,11.1,33.3
"17",3766,"Perfluorohexanesulfonamide","41997-13-1","DTXSID50469320","perfluoroalkyl sulfonamide",6,76.2211001001387,21.2917631549866,NA,9.73691225333106,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75893922836459,NA,NA,NA,NA,NA,399.13,NA,4.09,3.68,"0.42299999999999999",NA,NA,NA,"LC","Non-Volatile",100,66.5,NA,33.3,11.1
"18",3771,"Perfluoroheptanesulfonic acid","375-92-8","DTXSID8059920","perfluoroalkyl sulfonic acid",7,NA,NA,NA,NA,42.3940094468668,73.1076661468031,46.0042526064913,NA,NA,71.5419135777759,NA,NA,50.355635683937,35.1585507457216,NA,NA,NA,33.3,NA,450.12,"-",4.71028,2.54508,"-","-",NA,33.3,"LC","Non-Volatile",NA,NA,NA,11.1,NA
"19",3853,"Sodium perfluorooctanoate","335-95-5","DTXSID40880025","perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.052,NA,4.16,5.58,"0.192",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"20",4336,"Perfluorohexanesulfonic acid","355-46-4","DTXSID7040150","perfluoroalkyl sulfonic acid",6,NA,NA,NA,70.0231939520741,82.4154204477046,82.2305131429369,82.4154204477046,82.2305131429369,NA,NA,85.907570892788,NA,82.2305131429369,65.2784832642496,NA,NA,NA,33.3,66.5,400.11,"-",4.2745,2.44301,"-","-",NA,33.3,"LC","Non-Volatile",NA,NA,NA,33.3,66.5
