"chemical_id","chemical_name","CASRN","DTXSID","Morph.BMD10.x","Background_BMD","Excitatory_BMD","Refractory_BMD","Light_BMD","Dark_BMD","EPR.BMD","LPR.BMD","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10.y","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile"
4392,"3-(Perfluoro-2-butyl)propane-1,2-diol","125070-38-4","DTXSID10382147",NA,NA,NA,NA,NA,44.21137064,NA,NA,"fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.117,"-",6.97184,2.70226,"-","-",NA,NA,"GC","Volatile"
4393,"Methyl 2H,2H,3H,3H-perfluoroheptanoate","132424-36-3","DTXSID50441560",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer acid methyl ester",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.128,NA,3.17,3.64,"8.96",NA,NA,11.1,"GC","Volatile"
4394,"1H,1H,11H,11H-Perfluorotetraethylene glycol","330562-44-2","DTXSID00380798",10.52692799,NA,NA,NA,NA,8.533246264,NA,NA,"perfluoroalkylether",6,52.65869064,27.54232365,NA,30.33009008,9.685708613,29.92573001,9.685708613,29.92573001,70.03049858,29.84582518,NA,NA,28.85334586,10.52692799,410.112,"-",7.3784,2.62232,"0.0320627","0.00072778",NA,NA,"GC","Volatile"
4395,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl methacrylate","3934-23-4","DTXSID5063235",NA,NA,NA,NA,0.682895002,NA,NA,NA,"fluorotelomer methacrylate",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.162,"-",3.95997,3.74473,"0.534564","-",NA,NA,"GC","Volatile"
4396,"1H,1H,8H,8H-Perfluorooctane-1,8-diol","90177-96-1","DTXSID30396867",NA,71.12865332,2.054590629,NA,59.51053452,1.099295033,2.054590629,1.099295033,"perfluoroalkyl alcohol",6,NA,NA,NA,NA,82.64272831,NA,82.64272831,NA,NA,NA,NA,NA,NA,NA,362.115,NA,7.17,3.17,"0.118",NA,66.5,11.1,"GC","Volatile"
4397,"Perfluorooctanesulfonamido ammonium iodide","1652-63-7","DTXSID8051419",73.99936174,NA,86.10185012,NA,NA,NA,NA,NA,"perfluoroalkylsulfonamido ammonium halide",8,97.47373392,79.30946579,NA,89.22477537,63.93605572,86.06068998,66.67160489,NA,NA,NA,NA,NA,91.49181248,73.99936174,726.23,"-",7.48041,3.59207,"-","-",NA,NA,"LC","Non-Volatile"
4398,"Nonafluoropentanamide","13485-61-5","DTXSID60400587",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl amide",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.063,NA,4.21,2.79,"4.96",NA,NA,NA,"LC","Non-Volatile"
4399,"2-Aminohexafluoropropan-2-ol","31253-34-6","DTXSID80382093",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl amino alcohol",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.053,"-",6.1372,1.07119,"17.8649","-",NA,1.23,"GC","Volatile"
4400,"Perfluoro-2-methyl-3-oxahexanoic acid","13252-13-6","DTXSID70880215",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkylether carboxylic acid",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.053,NA,3.74,5.1,"0.262",NA,NA,NA,"LC","Non-Volatile"
4401,"Perfluorooctanamide","423-54-1","DTXSID60195123",41.47665938,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl amide",7,48.17194141,NA,NA,42.81849174,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.47665938,413.086,"-",4.89674,3.22284,"0.162181","0.000891251",NA,NA,"LC","Non-Volatile"
